,0
1052,10014
1053,10012
1054,11233
1055,10038
1056,10013
1057,10003
1058,10014
1059,10014
1060,10014
1061,10012
1062,10003
1063,10003
1064,10012
1065,10002
1066,11211
1067,11372
1068,10014
1069,11238
1070,10002
1071,11229
1072,10003
1073,10039
1074,07086
1075,10014
1076,10009
1077,10014
1078,10036
1079,10013
1080,10028
1081,10003
1082,10010
1083,10032
1084,10014
1085,10018
1086,10002
1087,10019
1088,100014
1089,10011
1090,11217
1091,10011
1092,10009
1093,11237
1094,10011
1095,10013
1096,10009
1097,10019
1098,10017
1099,10014
1100,10002
1101,10014
1102,11238
1103,10002
1104,10022
1105,10023-7692
1106,10014
1107,10013
1108,11207
1109,11211
1110,10017
1111,10024
1112,10019
1113,10022
1114,10014
1115,07030
1116,10018
1117,10003
1118,10019
1119,10001
1120,10002
1121,10002
1122,10011
1123,10035
1124,07030
1125,10014
1126,11231
1127,11201
1128,10009
1129,10001
1130,10014
1131,10014
1132,10010
1133,10003
1134,10023
1135,10018
1136,11215
1137,10022
1138,11201
1139,100014
1140,10128
1141,07030-5774
1142,11211
1143,10016
1144,10016
1145,10001
1146,10012
1147,11211
1148,10010
1149,10003
1150,10001
1151,10023
1152,11209
1153,10012
1154,10002
1155,10011
1156,10012
1157,11238
1158,10014
1159,10028
1160,10022
1161,11385
1162,10009
1163,10011
1164,10014
1165,10035
1166,07087
1167,10014
1168,10018
1169,10014
1170,
1171,10036
1172,10014
1173,10009
1174,10003
1175,10014
1176,10019
1177,10011
1178,10014
1179,10002
1180,10278
1181,10019
1182,10002
1183,10014
1184,11215
1185,10012
1186,10002
1187,10040
1188,10022
1189,10022
1190,10003
1191,10009
1192,10031
1193,11208
1194,10009
1195,10036
1196,10014
1197,10012
1198,10009
1199,10036
1200,10002
1201,10011
1202,10017-6927
1203,07030
1204,10003
1205,10014
1206,10009
1207,10036
1208,10014
1209,10014
1210,10036
1211,10011
1212,10003
1213,07030
1214,10019
1215,10012
1216,10012
1217,10011
1218,11201
1219,11221
1220,10014
1221,11221
1222,11106
1223,10023
1224,10002
1225,11238
1226,10019
1227,10011
1228,10001
1229,10017
1230,10011
1231,10023
1232,11040
1233,10014
1234,10014
1235,10014
1236,10038
1237,07087
1238,10002
1239,10013
1240,10451
1241,10023
1242,10036
1243,10021
1244,11238
1245,10014
1246,11203
1247,10001
1248,10011
1249,11213
1250,10014
1251,100014
1252,10016
1253,10010
1254,10011
1255,10011
1256,10036
1257,10011
1258,11356
1259,11211
1260,10011
1261,10458
1262,10011
1263,11106
1264,10019
1265,10155
1266,10009
1267,11216
1268,10075
1269,10025
1270,10038
1271,10022
1272,10279
1273,10013
1274,11201
1275,10019
1276,10001
1277,10003
1278,10016
1279,10019
1280,11201
1281,10022
1282,11201
1283,10009
1284,11201
1285,10036
1286,10011
1287,10282
1288,10011
1289,10128
1290,10022
1291,10012
1292,10009
1293,10128
1294,11237
1295,10012-3332
1296,10128
1297,11237
1298,10011
1299,10023
1300,11233
1301,10009
1302,10011
1303,10014
1304,10030
1305,10019
1306,10022
1307,11201-1832
1308,10065
1309,10013
1310,10035
1311,10002
1312,11370
1313,11201
1314,10003
1315,10016
1316,10019
1317,11213
1318,11211
1319,10022
1320,10003
1321,11501
1322,10021
1323,10016
1324,11238
1325,11367
1326,11237
1327,10011
1328,10282
1329,10038
1330,10007
1331,10011
1332,11217
1333,11249
1334,10069
1335,10013
1336,10282
1337,10044
1338,10009
1339,10013
1340,10013
1341,11581
1342,11229
1343,10035
1344,11201-1832
1345,100011
1346,10011
1347,10282
1348,11103
1349,10038
1350,11201
1351,10011
1352,07114
1353,10069
1354,11238
1355,11221
1356,10014
1357,07030
1358,11106
1359,10282
1360,10019
1361,10002
1362,10036
1363,10003
1364,10013
1365,11238
1366,10009
1367,10010
1368,10012
1369,10003
1370,10282
1371,11203
1372,11430
1373,10016
1374,10014
1375,10010
1376,10023
1377,11222
1378,11238
1379,10011
1380,10022
1381,11430
1382,10003
1383,11249
1384,10069
1385,10013
1386,10023
1387,07114
1388,11432
1389,11207
1390,11201
1391,10016
1392,10002
1393,10036
1394,10001
1395,11102
1396,10278
1397,10014-3621
1398,07114
1399,10019
1400,11238
1401,10014-3621
1402,07304
1403,10022
1404,11215
1405,10028
1406,11222
1407,10009
1408,10009
1409,11430
1410,10022
1411,11201
1412,11217
1413,10012
1414,11249
1415,10029
1416,11430
1417,11206
1418,10016
1419,10003
1420,10011
1421,10012
1422,11211
1423,11379
1424,10013
1425,10027
1426,10065
1427,10002
1428,11385
1429,11211
1430,10001
1431,07311
1432,11216
1433,10019
1434,10002
1435,10018
1436,11430
1437,10128
1438,10065
1439,10282
1440,11432
1441,10040
1442,10003
1443,10021
1444,10011
1445,10065
1446,10463
1447,10003
1448,10012
1449,11105
1450,10001
1451,10022
1452,10128
1453,10075
1454,10038
1455,11201
1456,10013
1457,10014-3621
1458,10014
1459,11378
1460,10024
1461,11230
1462,10019
1463,10005
1464,10010
1465,10014
1466,11206
1467,10019
1468,11201
1469,10009
1470,10014
1471,07072
1472,10011
1473,10009
1474,11201
1475,11201
1476,10022
1477,10027
1478,11230
1479,11430
1480,10001
1481,10022
1482,10065
1483,11211
1484,10014
1485,11201
1486,10016
1487,10012
1488,10017
1489,11201
1490,11237
1491,11201
1492,11221
1493,10013
1494,10013
1495,10011
1496,10025
1497,07114
1498,11201
1499,10001
1500,11205
1501,11249
1502,11238
1503,10036
1504,11211
1505,10021
1506,10009
1507,11430
1508,11249
1509,11225
1510,10013
1511,10018
1512,11213
1513,11231
1514,10016
1515,10013
1516,10001
1517,10014
1518,11211
1519,10013
1520,10023
1521,10014
1522,11209
1523,10065
1524,10025
1525,10021
1526,11378
1527,11222
1528,11217
1529,10024
1530,11207
1531,11430
1532,10036
1533,10462
1534,11430
1535,10014
1536,10282
1537,11416
1538,11430
1539,10011
1540,10014
1541,10035
1542,11231
1543,11430
1544,10024
1545,11435
1546,10002
1547,11216
1548,10019
1549,11369
1550,10021
1551,10021
1552,10019
1553,10021
1554,11420
1555,11201-1832
1556,10003
1557,10025
1558,11430
1559,11430
1560,10027
1561,10010
1562,10014
1563,10001
1564,10027
1565,11215
1566,10016
1567,10037
1568,10011
1569,10012
1570,10003
1571,10036
1572,10009:10010
1573,07114
1574,10001
1575,10003
1576,11430
1577,10017
1578,11238
1579,11211
1580,10011
1581,10022
1582,10003
1583,10025
1584,11211
1585,10013
1586,10011
1587,10025
1588,11211
1589,10017
1590,10023
1591,10019
1592,11238
1593,10021
