,0
1159,10003
1160,10037
1161,10025
1162,10009
1163,10010
1164,10018-4527
1165,10153
1166,10009
1167,10018
1168,10010
1169,10023
1170,10012
1171,10024
1172,10016
1173,10019
1174,10275
1175,10023
1176,10016
1177,11377
1178,10025
1179,10075
1180,10011
1181,10019
1182,11206
1183,10022
1184,10002
1185,10014
1186,10021
1187,10022
1188,10003
1189,10002
1190,10036
1191,10016
1192,10016
1193,10013
1194,10023
1195,10016
1196,10014
1197,10019
1198,10035
1199,10010
1200,10279
1201,11371
1202,10019
1203,10282
1204,10011
1205,10004
1206,10012
1207,10021
1208,10279
1209,10025
1210,11369
1211,10003
1212,10031
1213,10155
1214,10009
1215,10035
1216,11371
1217,11430
1218,10037
1219,10040
1220,10022
1221,10019
1222,11201
1223,11369
1224,10007
1225,11206
1226,10017
1227,10023-7503
1228,10028
1229,10023
1230,10002
1231,10001
1232,100036
1233,10019
1234,10169
1235,10010
1236,10014
1237,10009
1238,11101
1239,10014
1240,10003
1241,10012
1242,10014
1243,10013
1244,11221
1245,10016
1246,10075
1247,10014
1248,10062
1249,10018
1250,10014
1251,10019
1252,10016
1253,11373
1254,10035
1255,10017
1256,10028
1257,10018
1258,10019
1259,10021
1260,10035
1261,10001-2062
1262,10155
1263,11371
1264,10024
1265,10012
1266,10017
1267,10038
1268,10022
1269,10001
1270,11101
1271,10012
1272,10019
1273,10017
1274,10028
1275,10023
1276,10014
1277,11206
1278,10280
1279,10013
1280,10017
1281,10025
1282,10037
1283,10019
1284,10036
1285,10028
1286,10002
1287,10001
1288,10016
1289,11371
1290,10004
1291,10013
1292,10001-2062
1293,10024
1294,10021
1295,11430
1296,10023
1297,11213
1298,10153
1299,10009
1300,10028
1301,10013
1302,10028
1303,10065
1304,10119
1305,10009
1306,10024
1307,10023
1308,10017
1309,10021
1310,10019
1311,10024
1312,10003
1313,11369
1314,10003
1315,10013
1316,10001
1317,10029
1318,10016
1319,10002
1320,10010
1321,10019
1322,10023-5104
1323,100036
1324,10003
1325,10021
1326,10025
1327,10001
1328,10013
1329,10016
1330,10011
1331,10036
1332,10023
1333,10065
1334,10022
1335,10017
1336,10022
1337,10011
1338,10011
1339,11369
1340,10010
1341,10065
1342,10035
1343,10002
1344,10035
1345,10036
1346,10037
1347,10020
1348,100036
1349,10022
1350,10017
1351,11430
1352,10001
1353,10023-6588
1354,10023-7503
1355,11371
1356,10006
1357,10019
1358,10001
1359,10153
1360,10001
1361,10019
1362,10065
1363,10023
1364,10005
1365,10065
1366,10014-3621
1367,10280
1368,11371
1369,10119
1370,10018
1371,10025-4403
1372,10019
1373,10001
1374,10012
1375,10022
1376,10016
1377,10022
1378,10011
1379,10021
1380,10019
1381,11378
1382,10018
1383,10003
1384,10012
1385,10036
1386,10003
1387,11430
1388,10009
1389,11249
1390,10004
1391,10038
1392,10028
1393,10154
1394,10023
1395,10001-2062
1396,10002
1397,10013
1398,11369
1399,10075-0381
1400,10119
1401,10011
1402,10021
1403,10023-6588
1404,11104
1405,10017
1406,10014
1407,10013
1408,10011
1409,10011
1410,10011-6832
1411,11430
1412,100036
1413,10036
1414,10155
1415,10019
1416,10010
1417,10075
1418,10021
1419,11201-1832
1420,10005
1421,11238
1422,10024
1423,10016
1424,10119
1425,10023
1426,10014-3621
1427,11101
1428,10036
1429,10065
1430,10009
1431,10014
1432,11369
1433,10014
1434,10036
1435,10035
1436,11430
1437,10011
1438,10024
1439,11415
1440,10014
1441,10065
1442,10014
1443,10022
1444,10002
1445,10022
1446,10028
1447,10019
1448,10038
1449,10024
1450,10075
1451,11101
1452,10037
1453,10065
1454,10014
1455,10025
1456,10023
1457,10017
1458,10041
1459,10279
1460,10009
1461,10012
1462,10002
1463,10016
1464,10002
1465,10128
1466,10018-4527
1467,10037
1468,10037
1469,10016
1470,10017
1471,10014
1472,10014
1473,10011
1474,10017-6927
1475,10025
1476,10003
1477,10001-2062
1478,10022
1479,10014
1480,10025
1481,10075
1482,10065
1483,10158-3650
1484,10037
1485,10278
1486,10002
1487,10016
1488,10026
1489,10128
1490,10012
1491,10007
1492,10011
1493,10019
1494,10011
1495,10035
1496,10023
1497,10017
1498,10021
1499,10282
1500,10014
1501,10006
1502,10003
1503,10013
1504,10019
1505,10022
1506,10035
1507,10022
1508,10018
1509,10019
1510,10023-5112
1511,10065
1512,10023
1513,10022
1514,10001
1515,100036
1516,10022
1517,11101
1518,10011
1519,10022
1520,10019
1521,10019
1522,11371
1523,10021
1524,10016
