uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
10036,492,0.02763579172,10036,1,0.00002178317032,10036,1933,0.03980806458,1934,0.02047319113,uber
10037,218,0.01224512723,10037,1063,0.02315551005,10037,1130,0.02327113967,2193,0.02321494733,taxi
10038,198,0.01112172106,10038,5,0.0001089158516,10038,262,0.005395609374,267,0.002826443656,uber
10039,13,0.0007302140089,10039,422,0.009192497876,10039,12,0.0002471271469,434,0.004594294183,taxi
10040,19,0.001067235859,10040,390,0.008495436426,10040,87,0.001791671815,477,0.005049489229,taxi
10041,6,0.0003370218502,#N/A,0,0,10041,24,0.0004942542938,24,0.0002540623511,uber
10044,5,0.0002808515419,10044,19,0.0004138802361,10044,17,0.0003500967915,36,0.0003810935267,taxi
10045,6,0.0003370218502,#N/A,0,0,10045,4,0.00008237571564,4,0.00004234372519,uber
10048,2,0.0001123406167,#N/A,0,0,10048,6,0.0001235635735,6,0.00006351558778,uber
10055,2,0.0001123406167,#N/A,0,0,10055,5,0.0001029696445,5,0.00005292965649,uber
10062,8,0.000449362467,#N/A,0,0,10062,17,0.0003500967915,17,0.0001799608321,uber
10065,293,0.01645790035,#N/A,0,0,10065,1214,0.0250010297,1214,0.01285132059,uber
10069,59,0.003314048194,10069,1,0.00002178317032,10069,106,0.002182956464,107,0.001132694649,uber
10075,128,0.007189799472,#N/A,0,0,10075,624,0.01285061164,624,0.00660562113,uber
10105,13,0.0007302140089,#N/A,0,0,10105,39,0.0008031632275,39,0.0004128513206,uber
10106,6,0.0003370218502,#N/A,0,0,10106,36,0.0007413814408,36,0.0003810935267,taxi
10107,8,0.000449362467,#N/A,0,0,10107,40,0.0008237571564,40,0.0004234372519,uber
10110,7,0.0003931921586,#N/A,0,0,10110,18,0.0003706907204,18,0.0001905467634,uber
10111,91,0.005111498062,#N/A,0,0,10111,237,0.004880761152,237,0.002508865717,uber
10115,4,0.0002246812335,10115,447,0.009737077134,10115,66,0.001359199308,513,0.005430582756,taxi
10119,104,0.005841712071,#N/A,0,0,10119,714,0.01470406524,714,0.007558354946,taxi
10121,6,0.0003370218502,#N/A,0,0,10121,21,0.0004324725071,21,0.0002223045572,uber
10123,1,0.00005617030837,#N/A,0,0,10123,3,0.00006178178673,3,0.00003175779389,uber
10128,204,0.01145874291,10128,190,0.004138802361,10128,1084,0.02232381894,1274,0.01348647647,taxi
10129,5,0.0002808515419,10129,380,0.008277604723,10129,31,0.0006384117962,411,0.004350817763,taxi
10152,6,0.0003370218502,#N/A,0,0,10152,23,0.0004736603649,23,0.0002434764198,uber
10153,26,0.001460428018,#N/A,0,0,10153,156,0.00321265291,156,0.001651405282,taxi
10154,4,0.0002246812335,#N/A,0,0,10154,22,0.000453066436,22,0.0002328904885,taxi
10155,19,0.001067235859,#N/A,0,0,10155,122,0.002512459327,122,0.001291483618,taxi
10158,12,0.0006740437005,#N/A,0,0,10158,36,0.0007413814408,36,0.0003810935267,uber
10162,5,0.0002808515419,#N/A,0,0,10162,17,0.0003500967915,17,0.0001799608321,uber
10165,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
